catalogue_id,source,family,title,automation,tool,govux_category,reference,notes
WCAG-1.1.1,WCAG 2.2,Level A,Non-text Content,automated,axe-core,accessibility,WCAG 2.2 SC 1.1.1,"axe rules: aria-meter-name, aria-progressbar-name, image-alt, input-image-alt, object-alt, role-img-alt, svg-img-alt"
WCAG-1.2.1,WCAG 2.2,Level A,Audio-only and Video-only (Prerecorded),automated,axe-core,accessibility,WCAG 2.2 SC 1.2.1,axe rules: audio-caption
WCAG-1.2.2,WCAG 2.2,Level A,Captions (Prerecorded),automated,axe-core,accessibility,WCAG 2.2 SC 1.2.2,axe rules: video-caption
WCAG-1.2.3,WCAG 2.2,Level A,Audio Description or Media Alternative (Prerecorded),manual,,accessibility,WCAG 2.2 SC 1.2.3,no deterministic rule — assessor judgement
WCAG-1.3.1,WCAG 2.2,Level A,Info and Relationships,automated,axe-core,accessibility,WCAG 2.2 SC 1.3.1,"axe rules: aria-hidden-body, aria-required-children, aria-required-parent, definition-list, dlitem, list, listitem, p-as-heading, table-fake-caption, td-has-header, td-headers-attr, th-has-data-cells"
WCAG-1.3.2,WCAG 2.2,Level A,Meaningful Sequence,manual,,accessibility,WCAG 2.2 SC 1.3.2,no deterministic rule — assessor judgement
WCAG-1.3.3,WCAG 2.2,Level A,Sensory Characteristics,manual,,accessibility,WCAG 2.2 SC 1.3.3,no deterministic rule — assessor judgement
WCAG-1.4.1,WCAG 2.2,Level A,Use of Color,automated,axe-core,accessibility,WCAG 2.2 SC 1.4.1,axe rules: link-in-text-block
WCAG-1.4.2,WCAG 2.2,Level A,Audio Control,automated,axe-core,accessibility,WCAG 2.2 SC 1.4.2,axe rules: no-autoplay-audio
WCAG-2.1.1,WCAG 2.2,Level A,Keyboard,automated,axe-core,accessibility,WCAG 2.2 SC 2.1.1,"axe rules: frame-focusable-content, scrollable-region-focusable, server-side-image-map"
WCAG-2.1.2,WCAG 2.2,Level A,No Keyboard Trap,manual,,accessibility,WCAG 2.2 SC 2.1.2,no deterministic rule — assessor judgement
WCAG-2.1.4,WCAG 2.2,Level A,Character Key Shortcuts,manual,,accessibility,WCAG 2.2 SC 2.1.4,no deterministic rule — assessor judgement
WCAG-2.2.1,WCAG 2.2,Level A,Timing Adjustable,automated,axe-core,accessibility,WCAG 2.2 SC 2.2.1,axe rules: meta-refresh
WCAG-2.2.2,WCAG 2.2,Level A,"Pause, Stop, Hide",automated,axe-core,accessibility,WCAG 2.2 SC 2.2.2,"axe rules: blink, marquee"
WCAG-2.3.1,WCAG 2.2,Level A,Three Flashes or Below Threshold,manual,,accessibility,WCAG 2.2 SC 2.3.1,no deterministic rule — assessor judgement
WCAG-2.4.1,WCAG 2.2,Level A,Bypass Blocks,automated,axe-core,accessibility,WCAG 2.2 SC 2.4.1,axe rules: bypass
WCAG-2.4.2,WCAG 2.2,Level A,Page Titled,automated,axe-core,accessibility,WCAG 2.2 SC 2.4.2,axe rules: document-title
WCAG-2.4.3,WCAG 2.2,Level A,Focus Order,manual,,accessibility,WCAG 2.2 SC 2.4.3,no deterministic rule — assessor judgement
WCAG-2.4.4,WCAG 2.2,Level A,Link Purpose (In Context),automated,axe-core,accessibility,WCAG 2.2 SC 2.4.4,"axe rules: area-alt, link-name"
WCAG-2.5.1,WCAG 2.2,Level A,Pointer Gestures,manual,,accessibility,WCAG 2.2 SC 2.5.1,no deterministic rule — assessor judgement
WCAG-2.5.2,WCAG 2.2,Level A,Pointer Cancellation,manual,,accessibility,WCAG 2.2 SC 2.5.2,no deterministic rule — assessor judgement
WCAG-2.5.3,WCAG 2.2,Level A,Label in Name,automated,axe-core,accessibility,WCAG 2.2 SC 2.5.3,axe rules: label-content-name-mismatch
WCAG-2.5.4,WCAG 2.2,Level A,Motion Actuation,manual,,accessibility,WCAG 2.2 SC 2.5.4,no deterministic rule — assessor judgement
WCAG-3.1.1,WCAG 2.2,Level A,Language of Page,automated,axe-core,accessibility,WCAG 2.2 SC 3.1.1,"axe rules: html-has-lang, html-lang-valid, html-xml-lang-mismatch"
WCAG-3.2.1,WCAG 2.2,Level A,On Focus,manual,,accessibility,WCAG 2.2 SC 3.2.1,no deterministic rule — assessor judgement
WCAG-3.2.2,WCAG 2.2,Level A,On Input,manual,,accessibility,WCAG 2.2 SC 3.2.2,no deterministic rule — assessor judgement
WCAG-3.2.6,WCAG 2.2,Level A,Consistent Help,manual,,accessibility,WCAG 2.2 SC 3.2.6,no deterministic rule — assessor judgement
WCAG-3.3.1,WCAG 2.2,Level A,Error Identification,manual,,accessibility,WCAG 2.2 SC 3.3.1,no deterministic rule — assessor judgement
WCAG-3.3.2,WCAG 2.2,Level A,Labels or Instructions,automated,axe-core,accessibility,WCAG 2.2 SC 3.3.2,axe rules: form-field-multiple-labels
WCAG-3.3.7,WCAG 2.2,Level A,Redundant Entry,manual,,accessibility,WCAG 2.2 SC 3.3.7,no deterministic rule — assessor judgement
WCAG-4.1.2,WCAG 2.2,Level A,"Name, Role, Value",automated,axe-core,accessibility,WCAG 2.2 SC 4.1.2,"axe rules: aria-allowed-attr, aria-braille-equivalent, aria-command-name, aria-conditional-attr, aria-deprecated-role, aria-hidden-focus, aria-input-field-name, aria-prohibited-attr, aria-required-attr, aria-roledescription, aria-roles, aria-toggle-field-name, aria-tooltip-name, aria-valid-attr, aria-valid-attr-value, button-name, duplicate-id-aria, frame-title, frame-title-unique, input-button-name, label, nested-interactive, select-name"
WCAG-1.2.4,WCAG 2.2,Level AA,Captions (Live),manual,,accessibility,WCAG 2.2 SC 1.2.4,no deterministic rule — assessor judgement
WCAG-1.2.5,WCAG 2.2,Level AA,Audio Description (Prerecorded),manual,,accessibility,WCAG 2.2 SC 1.2.5,no deterministic rule — assessor judgement
WCAG-1.3.4,WCAG 2.2,Level AA,Orientation,automated,axe-core,accessibility,WCAG 2.2 SC 1.3.4,axe rules: css-orientation-lock
WCAG-1.3.5,WCAG 2.2,Level AA,Identify Input Purpose,automated,axe-core,accessibility,WCAG 2.2 SC 1.3.5,axe rules: autocomplete-valid
WCAG-1.4.3,WCAG 2.2,Level AA,Contrast (Minimum),automated,axe-core,accessibility,WCAG 2.2 SC 1.4.3,axe rules: color-contrast
WCAG-1.4.4,WCAG 2.2,Level AA,Resize Text,automated,axe-core,accessibility,WCAG 2.2 SC 1.4.4,axe rules: meta-viewport
WCAG-1.4.5,WCAG 2.2,Level AA,Images of Text,manual,,accessibility,WCAG 2.2 SC 1.4.5,no deterministic rule — assessor judgement
WCAG-1.4.10,WCAG 2.2,Level AA,Reflow,manual,,accessibility,WCAG 2.2 SC 1.4.10,no deterministic rule — assessor judgement
WCAG-1.4.11,WCAG 2.2,Level AA,Non-text Contrast,manual,,accessibility,WCAG 2.2 SC 1.4.11,no deterministic rule — assessor judgement
WCAG-1.4.12,WCAG 2.2,Level AA,Text Spacing,automated,axe-core,accessibility,WCAG 2.2 SC 1.4.12,axe rules: avoid-inline-spacing
WCAG-1.4.13,WCAG 2.2,Level AA,Content on Hover or Focus,manual,,accessibility,WCAG 2.2 SC 1.4.13,no deterministic rule — assessor judgement
WCAG-2.4.5,WCAG 2.2,Level AA,Multiple Ways,manual,,accessibility,WCAG 2.2 SC 2.4.5,no deterministic rule — assessor judgement
WCAG-2.4.6,WCAG 2.2,Level AA,Headings and Labels,manual,,accessibility,WCAG 2.2 SC 2.4.6,no deterministic rule — assessor judgement
WCAG-2.4.7,WCAG 2.2,Level AA,Focus Visible,manual,,accessibility,WCAG 2.2 SC 2.4.7,no deterministic rule — assessor judgement
WCAG-2.4.11,WCAG 2.2,Level AA,Focus Not Obscured (Minimum),manual,,accessibility,WCAG 2.2 SC 2.4.11,no deterministic rule — assessor judgement
WCAG-2.5.7,WCAG 2.2,Level AA,Dragging Movements,manual,,accessibility,WCAG 2.2 SC 2.5.7,no deterministic rule — assessor judgement
WCAG-2.5.8,WCAG 2.2,Level AA,Target Size (Minimum),automated,axe-core,accessibility,WCAG 2.2 SC 2.5.8,axe rules: target-size
WCAG-3.1.2,WCAG 2.2,Level AA,Language of Parts,automated,axe-core,accessibility,WCAG 2.2 SC 3.1.2,axe rules: valid-lang
WCAG-3.2.3,WCAG 2.2,Level AA,Consistent Navigation,manual,,accessibility,WCAG 2.2 SC 3.2.3,no deterministic rule — assessor judgement
WCAG-3.2.4,WCAG 2.2,Level AA,Consistent Identification,manual,,accessibility,WCAG 2.2 SC 3.2.4,no deterministic rule — assessor judgement
WCAG-3.3.3,WCAG 2.2,Level AA,Error Suggestion,manual,,accessibility,WCAG 2.2 SC 3.3.3,no deterministic rule — assessor judgement
WCAG-3.3.4,WCAG 2.2,Level AA,"Error Prevention (Legal, Financial, Data)",manual,,accessibility,WCAG 2.2 SC 3.3.4,no deterministic rule — assessor judgement
WCAG-3.3.8,WCAG 2.2,Level AA,Accessible Authentication (Minimum),manual,,accessibility,WCAG 2.2 SC 3.3.8,no deterministic rule — assessor judgement
WCAG-4.1.3,WCAG 2.2,Level AA,Status Messages,manual,,accessibility,WCAG 2.2 SC 4.1.3,no deterministic rule — assessor judgement
LH-first-contentful-paint,Lighthouse,performance,first contentful paint,automated,lighthouse,performance,Lighthouse performance,
LH-largest-contentful-paint,Lighthouse,performance,largest contentful paint,automated,lighthouse,performance,Lighthouse performance,
LH-total-blocking-time,Lighthouse,performance,total blocking time,automated,lighthouse,performance,Lighthouse performance,
LH-cumulative-layout-shift,Lighthouse,performance,cumulative layout shift,automated,lighthouse,performance,Lighthouse performance,
LH-speed-index,Lighthouse,performance,speed index,automated,lighthouse,performance,Lighthouse performance,
LH-interaction-to-next-paint,Lighthouse,performance,interaction to next paint,automated,lighthouse,performance,Lighthouse performance,
LH-interactive,Lighthouse,performance,interactive,automated,lighthouse,performance,Lighthouse performance,
LH-max-potential-fid,Lighthouse,performance,max potential fid,automated,lighthouse,performance,Lighthouse performance,
LH-first-meaningful-paint,Lighthouse,performance,first meaningful paint,automated,lighthouse,performance,Lighthouse performance,
LH-render-blocking-resources,Lighthouse,performance,render blocking resources,automated,lighthouse,performance,Lighthouse performance,
LH-uses-responsive-images,Lighthouse,performance,uses responsive images,automated,lighthouse,performance,Lighthouse performance,
LH-offscreen-images,Lighthouse,performance,offscreen images,automated,lighthouse,performance,Lighthouse performance,
LH-unminified-css,Lighthouse,performance,unminified css,automated,lighthouse,performance,Lighthouse performance,
LH-unminified-javascript,Lighthouse,performance,unminified javascript,automated,lighthouse,performance,Lighthouse performance,
LH-unused-css-rules,Lighthouse,performance,unused css rules,automated,lighthouse,performance,Lighthouse performance,
LH-unused-javascript,Lighthouse,performance,unused javascript,automated,lighthouse,performance,Lighthouse performance,
LH-uses-optimized-images,Lighthouse,performance,uses optimized images,automated,lighthouse,performance,Lighthouse performance,
LH-modern-image-formats,Lighthouse,performance,modern image formats,automated,lighthouse,performance,Lighthouse performance,
LH-uses-text-compression,Lighthouse,performance,uses text compression,automated,lighthouse,performance,Lighthouse performance,
LH-uses-rel-preconnect,Lighthouse,performance,uses rel preconnect,automated,lighthouse,performance,Lighthouse performance,
LH-server-response-time,Lighthouse,performance,server response time,automated,lighthouse,performance,Lighthouse performance,
LH-redirects,Lighthouse,performance,redirects,automated,lighthouse,performance,Lighthouse performance,
LH-uses-http2,Lighthouse,performance,uses http2,automated,lighthouse,performance,Lighthouse performance,
LH-efficient-animated-content,Lighthouse,performance,efficient animated content,automated,lighthouse,performance,Lighthouse performance,
LH-duplicated-javascript,Lighthouse,performance,duplicated javascript,automated,lighthouse,performance,Lighthouse performance,
LH-legacy-javascript,Lighthouse,performance,legacy javascript,automated,lighthouse,performance,Lighthouse performance,
LH-prioritize-lcp-image,Lighthouse,performance,prioritize lcp image,automated,lighthouse,performance,Lighthouse performance,
LH-total-byte-weight,Lighthouse,performance,total byte weight,automated,lighthouse,performance,Lighthouse performance,
LH-uses-long-cache-ttl,Lighthouse,performance,uses long cache ttl,automated,lighthouse,performance,Lighthouse performance,
LH-dom-size,Lighthouse,performance,dom size,automated,lighthouse,performance,Lighthouse performance,
LH-critical-request-chains,Lighthouse,performance,critical request chains,automated,lighthouse,performance,Lighthouse performance,
LH-user-timings,Lighthouse,performance,user timings,automated,lighthouse,performance,Lighthouse performance,
LH-bootup-time,Lighthouse,performance,bootup time,automated,lighthouse,performance,Lighthouse performance,
LH-mainthread-work-breakdown,Lighthouse,performance,mainthread work breakdown,automated,lighthouse,performance,Lighthouse performance,
LH-font-display,Lighthouse,performance,font display,automated,lighthouse,performance,Lighthouse performance,
LH-third-party-summary,Lighthouse,performance,third party summary,automated,lighthouse,performance,Lighthouse performance,
LH-third-party-facades,Lighthouse,performance,third party facades,automated,lighthouse,performance,Lighthouse performance,
LH-largest-contentful-paint-element,Lighthouse,performance,largest contentful paint element,automated,lighthouse,performance,Lighthouse performance,
LH-lcp-lazy-loaded,Lighthouse,performance,lcp lazy loaded,automated,lighthouse,performance,Lighthouse performance,
LH-layout-shifts,Lighthouse,performance,layout shifts,automated,lighthouse,performance,Lighthouse performance,
LH-uses-passive-event-listeners,Lighthouse,performance,uses passive event listeners,automated,lighthouse,performance,Lighthouse performance,
LH-no-document-write,Lighthouse,performance,no document write,automated,lighthouse,performance,Lighthouse performance,
LH-long-tasks,Lighthouse,performance,long tasks,automated,lighthouse,performance,Lighthouse performance,
LH-non-composited-animations,Lighthouse,performance,non composited animations,automated,lighthouse,performance,Lighthouse performance,
LH-unsized-images,Lighthouse,performance,unsized images,automated,lighthouse,performance,Lighthouse performance,
LH-viewport,Lighthouse,performance,viewport,automated,lighthouse,performance,Lighthouse performance,
LH-uses-responsive-images-snapshot,Lighthouse,performance,uses responsive images snapshot,automated,lighthouse,performance,Lighthouse performance,
LH-work-during-interaction,Lighthouse,performance,work during interaction,automated,lighthouse,performance,Lighthouse performance,
LH-bf-cache,Lighthouse,performance,bf cache,automated,lighthouse,performance,Lighthouse performance,
LH-network-requests,Lighthouse,performance,network requests,automated,lighthouse,performance,Lighthouse performance,
LH-network-rtt,Lighthouse,performance,network rtt,automated,lighthouse,performance,Lighthouse performance,
LH-network-server-latency,Lighthouse,performance,network server latency,automated,lighthouse,performance,Lighthouse performance,
LH-main-thread-tasks,Lighthouse,performance,main thread tasks,automated,lighthouse,performance,Lighthouse performance,
LH-diagnostics,Lighthouse,performance,diagnostics,automated,lighthouse,performance,Lighthouse performance,
LH-metrics,Lighthouse,performance,metrics,automated,lighthouse,performance,Lighthouse performance,
LH-screenshot-thumbnails,Lighthouse,performance,screenshot thumbnails,automated,lighthouse,performance,Lighthouse performance,
LH-final-screenshot,Lighthouse,performance,final screenshot,automated,lighthouse,performance,Lighthouse performance,
LH-script-treemap-data,Lighthouse,performance,script treemap data,automated,lighthouse,performance,Lighthouse performance,
LH-resource-summary,Lighthouse,performance,resource summary,automated,lighthouse,performance,Lighthouse performance,
LH-accesskeys,Lighthouse,accessibility,accesskeys,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-allowed-attr,Lighthouse,accessibility,aria allowed attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-allowed-role,Lighthouse,accessibility,aria allowed role,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-command-name,Lighthouse,accessibility,aria command name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-conditional-attr,Lighthouse,accessibility,aria conditional attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-deprecated-role,Lighthouse,accessibility,aria deprecated role,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-dialog-name,Lighthouse,accessibility,aria dialog name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-hidden-body,Lighthouse,accessibility,aria hidden body,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-hidden-focus,Lighthouse,accessibility,aria hidden focus,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-input-field-name,Lighthouse,accessibility,aria input field name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-meter-name,Lighthouse,accessibility,aria meter name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-progressbar-name,Lighthouse,accessibility,aria progressbar name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-prohibited-attr,Lighthouse,accessibility,aria prohibited attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-required-attr,Lighthouse,accessibility,aria required attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-required-children,Lighthouse,accessibility,aria required children,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-required-parent,Lighthouse,accessibility,aria required parent,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-roles,Lighthouse,accessibility,aria roles,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-text,Lighthouse,accessibility,aria text,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-toggle-field-name,Lighthouse,accessibility,aria toggle field name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-tooltip-name,Lighthouse,accessibility,aria tooltip name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-treeitem-name,Lighthouse,accessibility,aria treeitem name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-valid-attr-value,Lighthouse,accessibility,aria valid attr value,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-aria-valid-attr,Lighthouse,accessibility,aria valid attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-button-name,Lighthouse,accessibility,button name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-bypass,Lighthouse,accessibility,bypass,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-color-contrast,Lighthouse,accessibility,color contrast,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-definition-list,Lighthouse,accessibility,definition list,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-dlitem,Lighthouse,accessibility,dlitem,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-document-title,Lighthouse,accessibility,document title,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-duplicate-id-aria,Lighthouse,accessibility,duplicate id aria,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-form-field-multiple-labels,Lighthouse,accessibility,form field multiple labels,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-frame-title,Lighthouse,accessibility,frame title,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-heading-order,Lighthouse,accessibility,heading order,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-html-has-lang,Lighthouse,accessibility,html has lang,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-html-lang-valid,Lighthouse,accessibility,html lang valid,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-html-xml-lang-mismatch,Lighthouse,accessibility,html xml lang mismatch,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-image-alt,Lighthouse,accessibility,image alt,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-image-redundant-alt,Lighthouse,accessibility,image redundant alt,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-input-button-name,Lighthouse,accessibility,input button name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-input-image-alt,Lighthouse,accessibility,input image alt,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-label,Lighthouse,accessibility,label,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-link-in-text-block,Lighthouse,accessibility,link in text block,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-link-name,Lighthouse,accessibility,link name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-list,Lighthouse,accessibility,list,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-listitem,Lighthouse,accessibility,listitem,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-meta-refresh,Lighthouse,accessibility,meta refresh,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-meta-viewport,Lighthouse,accessibility,meta viewport,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-object-alt,Lighthouse,accessibility,object alt,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-select-name,Lighthouse,accessibility,select name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-skip-link,Lighthouse,accessibility,skip link,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-tabindex,Lighthouse,accessibility,tabindex,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-table-duplicate-name,Lighthouse,accessibility,table duplicate name,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-target-size,Lighthouse,accessibility,target size,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-td-headers-attr,Lighthouse,accessibility,td headers attr,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-th-has-data-cells,Lighthouse,accessibility,th has data cells,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-valid-lang,Lighthouse,accessibility,valid lang,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-video-caption,Lighthouse,accessibility,video caption,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-focusable-controls,Lighthouse,accessibility,focusable controls,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-interactive-element-affordance,Lighthouse,accessibility,interactive element affordance,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-logical-tab-order,Lighthouse,accessibility,logical tab order,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-visual-order-follows-dom,Lighthouse,accessibility,visual order follows dom,automated,lighthouse,accessibility,Lighthouse accessibility,
LH-focus-traps,Lighthouse,accessibility,focus traps,automated,lighthouse,accessibility,Lighthouse accessibility,
